stockCodeTransform,StockCode,Description,UnitPrice,Quantity,Index
213,C2,CARRIAGE,50.14,1,1
10002,10002,INFLATABLE POLITICAL GLOBE ,0.85,18,2
10080,10080,GROOVY CACTUS INFLATABLE,0.42,15,3
10120,10120,DOGGY RUBBER,0.21,6,4
10125,10125,MINI FUNKY DESIGN TAPES,0.79,19,5
10133,10133,COLOURING PENCILS BROWN TUBE,0.52,20,6
10135,10135,COLOURING PENCILS BROWN TUBE,1.06,18,7
11001,11001,ASSTD DESIGN RACING CAR PEN,1.67,23,8
15030,15030,FAN BLACK FRAME ,0.29,12,9
15034,15034,PAPER POCKET TRAVELING FAN ,0.14,63,10
15036,15036,ASSORTED COLOURS SILK FAN,0.81,69,11
15039,15039,SANDALWOOD FAN,0.84,22,12
16008,16008,SMALL FOLDING SCISSOR(POINTED EDGE),0.14,42,13
16010,16010,FOLDING CAMPING SCISSOR W/KNIF & S,0.12,9,14
16011,16011,ANIMAL STICKERS,0.21,39,15
16012,16012,FOOD/DRINK SPONGE STICKERS,0.21,34,16
16014,16014,SMALL CHINESE STYLE SCISSOR,0.4,256,17
16015,16015,MEDIUM CHINESE STYLE SCISSOR,0.49,29,18
16016,16016,LARGE CHINESE STYLE SCISSOR,0.85,20,19
16033,16033,MINI HIGHLIGHTER PENS,0.12,210,20
16043,16043,POP ART PUSH DOWN RUBBER ,0.12,49,21
16045,16045,POPART WOODEN PENCILS ASST,0.04,129,22
16046,16046,TEATIME PEN CASE & PENS,0.85,4,23
16048,16048,TEATIME ROUND PENCIL SHARPENER ,0.13,33,24
16049,16049,TEATIME GEL PENS ASST,0.2,117,25
16052,16052,TEATIME PUSH DOWN RUBBER,0.33,89,26
16054,16054,POPART RECT PENCIL SHARPENER ASST,0.13,35,27
16216,16216,LETTER SHAPE PENCIL SHARPENER,0.09,93,28
16218,16218,CARTOON  PENCIL SHARPENERS,0.07,76,29
16219,16219,HOUSE SHAPE PENCIL SHARPENER,0.09,63,30
16225,16225,RATTLE SNAKE EGGS,1.12,11,31
16235,16235,RECYCLED PENCIL WITH RABBIT ERASER,0.21,35,32
16236,16236,KITTY PENCIL ERASERS,0.21,19,33
16237,16237,SLEEPING CAT ERASERS,0.21,29,34
16238,16238,PARTY TIME PENCIL ERASERS,0.21,18,35
16254,16254,TRANSPARENT ACRYLIC TAPE DISPENSER,0.95,4,36
16259,16259,PIECE OF CAMO STATIONERY SET,0.1,116,37
17001,17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,0.29,72,38
17003,17003,BROCADE RING PURSE ,0.31,118,39
17021,17021,NAMASTE SWAGAT INCENSE,0.3,42,40
17038,17038,PORCELAIN BUDAH INCENSE HOLDER,0.1,78,41
17096,17096,ASSORTED LAQUERED INCENSE HOLDERS,0.2,194,42
17174,17174,ASSTD RASTA KEY-CHAINS,0.42,2,43
18007,18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,0.17,343,44
20615,20615,BLUE POLKADOT PASSPORT COVER,1.38,7,45
20616,20616,CHERRY BLOSSOM PASSPORT COVER,1.24,6,46
20617,20617,FIRST CLASS PASSPORT COVER ,2.08,3,47
20618,20618,QUEEN OF THE SKIES PASSPORT COVER ,2.08,2,48
20619,20619,TROPICAL PASSPORT COVER ,1.88,9,49
20622,20622,VIP PASSPORT COVER ,2.1,3,50
20652,20652,BLUE POLKADOT LUGGAGE TAG ,1.25,5,51
20653,20653,CHERRY BLOSSOM LUGGAGE TAG,1.25,8,52
20654,20654,FIRST CLASS LUGGAGE TAG ,1.24,4,53
20655,20655,QUEEN OF SKIES LUGGAGE TAG,1.24,2,54
20657,20657,TROPICAL LUGGAGE TAG,1.25,2,55
20658,20658,RED RETROSPOT LUGGAGE TAG,1.25,6,56
20659,20659,ECONOMY LUGGAGE TAG,1.24,3,57
20661,20661,BLUE POLKADOT PURSE ,3.9,2,58
20662,20662,FIRST CLASS HOLIDAY PURSE ,2.95,3,59
20663,20663,QUEEN OF THE SKIES HOLIDAY PURSE ,2.95,1,60
20664,20664,TROPICAL HOLIDAY PURSE ,2.95,2,61
20665,20665,RED RETROSPOT PURSE ,2.95,5,62
20666,20666,ECONOMY HOLIDAY PURSE,2.95,1,63
20667,20667,CHERRY BLOSSOM PURSE,2.95,1,64
20668,20668,DISCO BALL CHRISTMAS DECORATION,0.12,71,65
20669,20669,RED HEART LUGGAGE TAG,1.25,5,66
20670,20670,VIP HOLIDAY PURSE,2.95,1,67
20671,20671,BLUE TEATIME PRINT BOWL ,1.25,5,68
20674,20674,GREEN POLKADOT BOWL,1.24,9,69
20675,20675,BLUE POLKADOT BOWL,1.24,13,70
20676,20676,RED RETROSPOT BOWL,1.23,15,71
20677,20677,PINK POLKADOT BOWL,1.23,15,72
20679,20679,EDWARDIAN PARASOL RED,5.87,6,73
20681,20681,PINK POLKADOT CHILDRENS UMBRELLA,3.25,4,74
20682,20682,RED RETROSPOT CHILDRENS UMBRELLA,3.24,7,75
20684,20684,STRAWBERRY DREAM CHILDS UMBRELLA,3.25,2,76
20685,20685,DOORMAT RED RETROSPOT,7.72,7,77
