CustomerID,stockCodeTransform,rate
1,1031,5
1,3135,4
1,1282,5
1,682,4
1,1479,5
1,1218,3
1,250,5
1,838,5
1,1017,4
1,1016,5
1,3136,5
1,1553,4
1,1938,5
1,1336,5
1,718,5
1,1841,5
1,62,5
1,1176,3
1,1173,3
1,1175,3
1,1177,4
1,1227,5
1,13,4
1,1597,4
1,1287,3
1,1212,5
1,839,5
1,2626,4
1,2627,4
1,1017,5
1,1508,4
1,1507,3
1,1506,4
1,1505,3
1,1504,3
1,205,5
1,1177,3
1,1176,3
1,98,4
1,2662,4
1,3158,5
1,3157,4
1,1016,5
1,98,5
1,1923,4
1,958,4
1,139,5
1,137,5
1,2056,5
1,2045,5
1,1551,5
1,1552,5
1,1553,5
1,1554,5
1,1581,4
1,1504,4
1,1505,3
1,1506,3
1,1507,3
1,1508,3
1,3134,5
1,3368,5
1,325,5
1,1016,5
1,2618,4
1,3279,4
1,3278,5
1,3280,4
1,1284,5
1,1287,3
1,3407,4
1,1550,4
1,263,4
1,1282,5
1,1176,4
1,1176,3
1,1175,4
1,1177,4
1,1173,5
1,1174,4
1,575,5
1,98,5
1,1506,4
1,1907,4
1,1908,4
1,2961,5
1,2627,5
1,2626,5
1,838,5
1,1218,3
1,1936,4
1,3134,5
1,1763,5
1,718,5
1,2064,4
1,2662,5
1,2428,4
1,311,4
1,2961,5
1,246,5
1,390,4
1,98,5
1,1849,4
1,682,5
1,3157,5
1,263,5
1,2288,5
1,2233,5
1,2217,5
1,390,4
1,609,5
1,1174,4
1,250,5
1,1173,5
1,1175,5
1,1062,5
1,1717,5
1,2023,5
1,1218,4
1,2242,5
1,1849,5
1,1504,4
1,1506,5
1,2983,5
1,3134,5
1,1017,4
1,1907,4
1,40,5
1,2679,4
1,1176,3
1,1173,5
1,1936,3
1,1935,4
1,1934,2
1,1931,5
1,1933,5
1,1932,4
1,1923,5
1,2244,4
1,1934,2
1,1176,5
1,2964,5
1,2404,5
1,1907,4
1,2160,5
1,2161,5
1,2159,5
1,1479,5
1,1504,5
1,1507,5
1,1505,5
1,1506,5
1,839,4
1,1282,5
1,1212,5
1,2626,4
1,2627,5
1,1017,5
1,3134,5
1,682,5
1,1287,4
1,1217,4
1,749,5
1,961,5
1,2618,5
1,1218,3
1,2056,4
1,1346,4
1,1404,5
1,2239,5
1,2961,4
1,1478,5
1,1477,5
1,3134,5
1,1849,5
1,1763,5
1,1938,5
1,718,4
1,2244,4
1,682,5
1,682,5
1,2242,5
2,2626,5
2,2626,5
2,355,5
2,355,4
2,1399,5
2,842,4
2,843,5
2,679,4
2,1843,4
2,1841,5
2,1843,5
2,1842,5
2,353,5
2,2624,5
2,1724,4
2,1724,4
2,840,5
2,1842,4
2,840,5
2,1232,4
2,2627,5
2,846,5
2,834,5
2,844,5
2,680,5
2,1723,5
2,841,5
3,1484,4
3,306,5
3,2250,5
3,2233,5
3,2230,3
3,2229,5
3,1139,4
3,1133,4
3,1339,5
3,1385,4
3,2031,2
3,2000,5
3,1996,5
3,2043,4
3,1340,5
3,2015,5
3,2358,5
3,2178,4
3,2411,3
3,2383,5
3,2372,4
3,893,4
3,368,5
3,367,5
3,2025,5
3,888,4
3,1225,3
3,1236,5
3,2638,4
3,1869,2
3,2957,4
3,2281,5
3,2410,4
3,2042,5
3,1341,4
3,2041,5
3,1731,4
