user_id,recommended_products
12347.0,"[(23370, 0.9949884), (23390, 0.9983594), (90021, 0.9990595), (22274, 0.99855965), (9003013, 0.999037), (22913, 0.9973943), (22753, 0.99885666), (8408612, 0.99847883), (22358, 0.99778605), (23398, 0.9985892)]"
12348.0,"[(22502, 0.9965701), (22251, 0.9977717), (22768, 0.99849904), (21706, 0.99879444), (21932, 0.9984748), (21931, 0.99657214), (21393, 0.9977629), (22925, 0.9985), (8261314, 0.9982066), (23341, 0.9983829)]"
12349.0,"[(3560711, 0.99870443), (22107, 0.9988128), (22196, 0.998483), (4701313, 0.9968725), (20886, 0.9983438), (21993, 0.9986847), (23245, 0.99817693), (20846, 0.99635315), (23455, 0.99594057), (8403112, 0.99591064)]"
12350.0,"[(20719, 0.99832875), (7149511, 0.99843246), (85141, 0.99736196), (3580911, 0.998563), (21868, 0.9985089), (8474113, 0.99678576), (21875, 0.9976847), (21700, 0.99765426), (22538, 0.997968), (23217, 0.99761873)]"
12352.0,"[(84576, 0.9982493), (3581826, 0.9990206), (9001313, 0.9986891), (21110, 0.998004), (22596, 0.99847525), (22745, 0.9985055), (90159, 0.99940825), (21984, 0.9984542), (8523012, 0.9987796), (21154, 0.99865735)]"
12353.0,"[(8518611, 0.9968732), (22191, 0.99833316), (21187, 0.9978416), (9001811, 0.99843794), (22474, 0.998716), (21307, 0.9983682), (8480411, 0.997883), (8504913, 0.99866974), (22443, 0.9987431), (22294, 0.9986156)]"
12354.0,"[(21261, 0.99880135), (21720, 0.99824524), (21112, 0.9977502), (21641, 0.9985654), (22792, 0.99855906), (22475, 0.9989041), (85088, 0.997752), (22395, 0.9990584), (22421, 0.9978326), (7919014, 0.9969568)]"
12355.0,"[(8523016, 0.9969887), (20653, 0.99799675), (20897, 0.99788517), (22184, 0.99490887), (20615, 0.9983796), (85212, 0.9988825), (22891, 0.99879044), (22721, 0.9985942), (23006, 0.9987148), (7280015, 0.9989215)]"
12356.0,"[(16008, 0.9981092), (3591111, 0.99884653), (21562, 0.9972234), (21215, 0.9969567), (21402, 0.9987748), (8403112, 0.99591064), (20703, 0.99894255), (4600031, 0.99886537), (79331, 0.99596316), (22993, 0.9982912)]"
12358.0,"[(4751816, 0.99911875), (4736712, 0.9968893), (7919112, 0.99810314), (22215, 0.9986671), (21281, 0.9979322), (35972, 0.9971806), (21987, 0.99722123), (22547, 0.99792445), (3581812, 0.9991278), (22861, 0.9963342)]"
12359.0,"[(84016, 0.99823725), (9018311, 0.9981791), (22780, 0.99860066), (22509, 0.9984723), (21430, 0.99857676), (22266, 0.99877626), (21741, 0.9963289), (9012911, 0.99908984), (23306, 0.9980028), (23293, 0.99823064)]"
