user_id,recommended_products
12347.0,"[(22191, 0.4231978), (21479, 0.4227029), (23215, 0.42189118), (23207, 0.42303967), (21726, 1.0), (23430, 1.0), (22308, 1.0), (22646, 0.9820702), (23320, 1.0), (8475012, 0.8770524)]"
12348.0,"[(23215, 0.9999926), (22191, 0.9994468), (22992, 0.99992406), (21430, 0.9999734), (8450713, 1.0), (22039, 0.9999453), (22466, 0.9998344), (23223, 0.94339097), (22899, 0.99722385), (8509916, 0.97201264)]"
12349.0,"[(22991, 1.0), (23203, 1.0), (22992, 0.9949839), (21479, 1.0), (22216, 0.99929464), (21365, 0.9998721), (23275, 1.0), (21157, 1.0), (1505813, 1.0), (21117, 0.9993259)]"
12350.0,"[(22191, 0.9998684), (21731, 0.9999987), (23215, 0.9999994), (21479, 0.99976546), (22607, 0.8024285), (22887, 1.0), (21066, 1.0), (22603, 0.99999297), (8461311, 1.0), (23051, 0.9391579)]"
12352.0,"[(21479, 0.9980227), (23215, 0.9986021), (21430, 0.9999882), (22991, 0.99998856), (22260, 0.9832403), (21058, 0.8034686), (23042, 1.0), (23532, 0.99992585), (20838, 0.9999999), (5101413, 0.9999999)]"
12353.0,"[(21731, 1.0), (84879, 1.0), (23203, 0.6706404), (22992, 0.60901666), (22705, 1.0), (21426, 0.9840678), (21544, 1.0), (22899, 0.8058739), (3500412, 1.0), (23309, 1.0)]"
12354.0,"[(21430, 0.9495047), (23215, 0.90473354), (21479, 0.9289714), (22191, 0.7030385), (85062, 0.9999579), (23091, 1.0), (21534, 0.8067177), (22203, 0.98581135), (8523117, 0.9999987), (85111, 0.98804796)]"
12355.0,"[(22991, 0.999962), (84879, 0.9994307), (21479, 0.9999982), (21430, 0.99567235), (21121, 0.99841), (21356, 0.99985754), (22364, 0.9997415), (21466, 0.9619661), (85225, 0.9853183), (22470, 0.91081804)]"
12356.0,"[(21430, 0.9906408), (21479, 0.95761263), (84879, 0.9976313), (22191, 0.9936558), (22782, 0.98718655), (21670, 0.97527426), (20674, 0.9983771), (8487412, 0.8189549), (23401, 0.99985266), (22174, 0.99999785)]"
12358.0,"[(22197, 0.9999416), (22991, 0.99991226), (23203, 0.9692451), (84879, 0.9553873), (9021436, 0.9999974), (8431313, 0.9999454), (21470, 1.0), (23121, 0.9517214), (20838, 0.9999993), (22477, 0.77313787)]"
12359.0,"[(23203, 0.99354386), (23215, 0.9982327), (21731, 0.99999964), (22992, 0.9966859), (8455912, 0.8893495), (23120, 0.99002564), (22547, 1.0), (22706, 0.99999475), (8513013, 0.99965394), (22814, 0.99999857)]"
12360.0,"[(23203, 0.9981547), (21479, 0.99338245), (22191, 0.9994388), (84879, 1.0), (23121, 0.9999933), (8473214, 0.863196), (3591111, 0.94176555), (22026, 1.0), (22505, 0.9550699), (8261612, 0.74054736)]"
12361.0,"[(84879, 0.99994826), (23203, 0.9350096), (21430, 0.9705095), (22191, 0.999998), (23227, 0.993995), (22934, 0.983959), (21720, 0.98688287), (22558, 0.99997807), (23318, 0.8799512), (79336, 1.0)]"
12362.0,"[(22191, 1.0), (23215, 0.9974637), (22992, 0.99686724), (21479, 0.8311817), (85187, 0.9911385), (22045, 1.0), (23066, 0.999987), (84832, 0.998811), (82567, 0.96473664), (22324, 0.8446252)]"
12363.0,"[(22197, 0.99313736), (21479, 0.99114734), (23215, 0.9905448), (22991, 1.0), (22460, 0.99548507), (22162, 0.9999999), (21828, 1.0), (8441512, 0.9996865), (23355, 1.0), (21366, 1.0)]"
12364.0,"[(23215, 0.9999937), (23203, 0.99759126), (21479, 0.9998951), (21731, 0.99865204), (23337, 0.9223445), (35650, 0.99998236), (8509916, 0.9998958), (23142, 0.9999703), (22042, 1.0), (23002, 0.9999976)]"
12365.0,"[(22992, 0.9998449), (21731, 0.97494125), (23203, 0.999826), (22191, 0.9999933), (22470, 0.9519423), (21249, 0.9999957), (22597, 0.99999917), (7280015, 0.9999999), (7149511, 0.97251284), (9012912, 1.0)]"
12367.0,"[(21430, 0.9999801), (22992, 0.99996054), (22191, 0.9999864), (22991, 0.99998415), (4677616, 1.0), (22402, 0.99597543), (84946, 0.9969908), (23505, 0.9999851), (22815, 0.9999968), (22717, 0.9711493)]"
12370.0,"[(21731, 1.0), (22493, 0.99952865), (21430, 0.99948263), (22197, 0.99939823), (4817313, 0.970719), (23694, 0.999997), (84987, 0.800951), (23132, 0.9999994), (8503213, 0.9999993), (3559814, 1.0)]"
12371.0,"[(22197, 0.9945476), (22991, 0.9990671), (21731, 0.99429893), (22493, 0.99955136), (21106, 1.0), (22030, 1.0), (23402, 1.0), (8517911, 1.0), (22576, 1.0), (22678, 1.0)]"
12372.0,"[(21430, 0.99996114), (23215, 0.9951934), (84879, 0.99998343), (22992, 0.9999832), (23110, 1.0), (9002714, 0.9999944), (23051, 0.71387595), (8470912, 0.93084806), (21564, 0.9999994), (22801, 1.0)]"
12373.0,"[(22992, 0.9998505), (21430, 0.99990356), (22197, 0.9994764), (23203, 0.9932829), (23135, 0.9999975), (22983, 0.9962794), (21112, 0.98897946), (21143, 0.93344635), (20773, 0.99791974), (22882, 0.9998319)]"
12374.0,"[(21479, 0.9710717), (21731, 0.9942338), (22191, 1.0), (22992, 0.80081713), (22536, 0.90235275), (8467312, 0.8465345), (21904, 1.0), (23510, 0.9704541), (22867, 0.9992887), (22433, 1.0)]"
12375.0,"[(23215, 1.0), (22493, 0.99748874), (84879, 0.9924596), (22992, 1.0), (22464, 1.0), (23245, 0.9502946), (22676, 1.0), (21804, 0.9788811), (22215, 0.802235), (23082, 1.0)]"
12377.0,"[(21430, 0.99909437), (21479, 0.9987198), (23203, 0.9996532), (22991, 0.99996436), (8513111, 0.9865246), (22257, 0.99706405), (22339, 1.0), (8479611, 0.9716589), (23160, 0.9999963), (7919211, 1.0)]"
12379.0,"[(21731, 0.9999573), (23203, 0.97920305), (22992, 0.9997495), (22197, 0.9996076), (22743, 0.9052051), (23089, 0.99664813), (21382, 0.9989857), (22350, 0.9991392), (8520611, 0.9985555), (85109, 1.0)]"
12380.0,"[(22991, 0.999495), (23215, 0.9999999), (21479, 0.9999999), (22191, 0.9997664), (22523, 1.0), (23239, 0.97136396), (9006312, 0.99999964), (8403212, 0.99997914), (21984, 0.99999964), (1701215, 1.0)]"
12381.0,"[(84879, 0.9980945), (22991, 0.9167205), (22197, 0.9996475), (22992, 0.9995592), (23032, 0.99998605), (21071, 0.99999225), (23022, 0.99999297), (1709111, 0.9579681), (1616131, 0.9746499), (7906314, 0.9999373)]"
12383.0,"[(22197, 0.99691594), (84879, 0.999634), (21731, 0.9956786), (23203, 0.9996743), (1716514, 0.99998176), (21746, 0.9998903), (22577, 0.9999807), (21708, 0.9999938), (8512311, 0.9947661), (23489, 0.96135294)]"
12384.0,"[(22992, 0.9999682), (22493, 0.9998938), (21479, 0.9999409), (23203, 0.9935719), (85141, 1.0), (21890, 1.0), (22364, 0.99999166), (8475011, 1.0), (22529, 0.95600015), (85088, 1.0)]"
12386.0,"[(21731, 0.7745745), (22191, 0.99999535), (22992, 1.0), (21479, 0.99715495), (23379, 1.0), (8249422, 0.89236635), (22212, 1.0), (20906, 1.0), (22799, 0.9999685), (23038, 0.9999716)]"
12388.0,"[(22992, 1.0), (22191, 0.9999999), (21731, 0.9864792), (23215, 0.9948667), (8451011, 0.9829149), (21014, 0.9998925), (23331, 0.9684447), (23014, 0.9752045), (22049, 0.77301776), (21447, 0.920331)]"
12390.0,"[(84879, 0.9998565), (22992, 0.99998176), (21430, 0.99999833), (22197, 0.99991953), (8466012, 0.9808735), (21518, 0.7093093), (23367, 0.78671384), (21749, 0.99999714), (84598, 0.987341), (20617, 0.92602485)]"
12391.0,"[(21430, 0.99931026), (22191, 0.9999995), (84879, 0.9851377), (22992, 0.99540234), (21754, 0.99927384), (23314, 0.7897184), (23091, 0.8424647), (21749, 0.9995408), (22909, 0.99965036), (21942, 0.99999976)]"
