id,ref_count,year,year_ref,doc_type,n_citation_ref,n_citation,n_citation_ref_count,Point
28339001,277,277,277,277,277,277,277,277
140172734,270,270,270,270,270,270,270,270
14941018,242,242,242,242,242,242,242,242
67710644,234,234,234,234,234,234,234,234
99699946,209,209,209,209,209,209,209,209
47554466,186,186,186,186,186,186,186,186
113218029,180,180,180,180,180,180,180,180
25096446,177,177,177,177,177,177,177,177
89160516,170,170,170,170,170,170,170,170
99952337,170,170,170,170,170,170,170,170
42122073,170,170,170,170,170,170,170,170
90084074,166,166,166,166,166,166,166,166
15274158,165,165,165,165,165,165,165,165
9976222,155,155,155,155,155,155,155,155
59857161,152,152,152,152,152,152,152,152
159787975,143,143,143,143,143,143,143,143
112858668,137,137,137,137,137,137,137,137
13794574,135,135,135,135,135,135,135,135
47747804,132,132,132,132,132,132,132,132
47061493,131,131,131,131,131,131,131,131
164507313,128,128,128,128,128,128,128,128
68427271,126,126,126,126,126,126,126,126
135876007,125,125,125,125,125,125,125,125
129683836,125,125,125,125,125,125,125,125
12803156,122,122,122,122,122,122,122,122
8473908,119,119,119,119,119,119,119,119
157207381,117,117,117,117,117,117,117,117
70959085,117,117,117,117,117,117,117,117
155929447,116,116,116,116,116,116,116,116
140743636,116,116,116,116,116,116,116,116
40399199,116,116,116,116,116,116,116,116
37436018,115,115,115,115,115,115,115,115
91087281,111,111,111,111,111,111,111,111
9266095,110,110,110,110,110,110,110,110
25799408,107,107,107,107,107,107,107,107
48722088,107,107,107,107,107,107,107,107
58268685,106,106,106,106,106,106,106,106
87237876,104,104,104,104,104,104,104,104
74891763,102,102,102,102,102,102,102,102
31015027,102,102,102,102,102,102,102,102
81352104,101,101,101,101,101,101,101,101
68992276,99,99,99,99,99,99,99,99
33845589,97,97,97,97,97,97,97,97
10896230,94,94,94,94,94,94,94,94
34381828,94,94,94,94,94,94,94,94
74198415,94,94,94,94,94,94,94,94
35155898,93,93,93,93,93,93,93,93
13098871,93,93,93,93,93,93,93,93
162034249,93,93,93,93,93,93,93,93
112821743,93,93,93,93,93,93,93,93
58069012,92,92,92,92,92,92,92,92
26484216,91,91,91,91,91,91,91,91
85688738,91,91,91,91,91,91,91,91
26878821,90,90,90,90,90,90,90,90
161256173,90,90,90,90,90,90,90,90
16484804,88,88,88,88,88,88,88,88
72912130,88,88,88,88,88,88,88,88
162716928,88,88,88,88,88,88,88,88
110972138,87,87,87,87,87,87,87,87
111114747,86,86,86,86,86,86,86,86
51213207,86,86,86,86,86,86,86,86
65805540,85,85,85,85,85,85,85,85
68548015,85,85,85,85,85,85,85,85
124332034,85,85,85,85,85,85,85,85
66177289,85,85,85,85,85,85,85,85
130490334,84,84,84,84,84,84,84,84
57451914,84,84,84,84,84,84,84,84
18746366,84,84,84,84,84,84,84,84
158439594,83,83,83,83,83,83,83,83
148646981,83,83,83,83,83,83,83,83
126981026,83,83,83,83,83,83,83,83
116751493,82,82,82,82,82,82,82,82
20879611,82,82,82,82,82,82,82,82
119308841,82,82,82,82,82,82,82,82
46948378,82,82,82,82,82,82,82,82
33391418,81,81,81,81,81,81,81,81
35751504,81,81,81,81,81,81,81,81
146034162,81,81,81,81,81,81,81,81
41229160,79,79,79,79,79,79,79,79
151817382,79,79,79,79,79,79,79,79
159358204,79,79,79,79,79,79,79,79
158123262,79,79,79,79,79,79,79,79
103169616,79,79,79,79,79,79,79,79
67422630,78,78,78,78,78,78,78,78
83755378,78,78,78,78,78,78,78,78
50528494,78,78,78,78,78,78,78,78
147544163,78,78,78,78,78,78,78,78
3302859,77,77,77,77,77,77,77,77
138883125,77,77,77,77,77,77,77,77
138160744,77,77,77,77,77,77,77,77
135300784,77,77,77,77,77,77,77,77
54243723,76,76,76,76,76,76,76,76
149731632,76,76,76,76,76,76,76,76
150222555,75,75,75,75,75,75,75,75
99718630,75,75,75,75,75,75,75,75
68373795,75,75,75,75,75,75,75,75
122822531,75,75,75,75,75,75,75,75
102421265,75,75,75,75,75,75,75,75
37167294,74,74,74,74,74,74,74,74
73056518,74,74,74,74,74,74,74,74
75435561,74,74,74,74,74,74,74,74
69597015,74,74,74,74,74,74,74,74
137689262,74,74,74,74,74,74,74,74
12553087,73,73,73,73,73,73,73,73
43031245,73,73,73,73,73,73,73,73
135380274,73,73,73,73,73,73,73,73
120583406,73,73,73,73,73,73,73,73
121876489,72,72,72,72,72,72,72,72
134285089,72,72,72,72,72,72,72,72
70895227,72,72,72,72,72,72,72,72
43631706,72,72,72,72,72,72,72,72
106322378,72,72,72,72,72,72,72,72
43183487,72,72,72,72,72,72,72,72
95238038,72,72,72,72,72,72,72,72
36762998,72,72,72,72,72,72,72,72
36412590,72,72,72,72,72,72,72,72
140133644,71,71,71,71,71,71,71,71
133698356,71,71,71,71,71,71,71,71
153217005,71,71,71,71,71,71,71,71
26933395,71,71,71,71,71,71,71,71
111961970,71,71,71,71,71,71,71,71
51650568,71,71,71,71,71,71,71,71
30204139,71,71,71,71,71,71,71,71
53264231,71,71,71,71,71,71,71,71
267718,70,70,70,70,70,70,70,70
1537476,70,70,70,70,70,70,70,70
88469699,70,70,70,70,70,70,70,70
20821090,69,69,69,69,69,69,69,69
147957332,69,69,69,69,69,69,69,69
22683294,69,69,69,69,69,69,69,69
11293062,69,69,69,69,69,69,69,69
125986237,68,68,68,68,68,68,68,68
57845903,68,68,68,68,68,68,68,68
103774727,68,68,68,68,68,68,68,68
84533843,68,68,68,68,68,68,68,68
33206339,68,68,68,68,68,68,68,68
125036514,68,68,68,68,68,68,68,68
21876023,68,68,68,68,68,68,68,68
101054542,67,67,67,67,67,67,67,67
37253703,67,67,67,67,67,67,67,67
39209175,67,67,67,67,67,67,67,67
18351152,67,67,67,67,67,67,67,67
8344810,67,67,67,67,67,67,67,67
21595345,66,66,66,66,66,66,66,66
