ref_count,count,,,
1,7550,,0.781237874,
2,7421,,0.767889571,
3,7444,,0.770269501,
4,7158,,0.74067559,
5,6720,,0.695353445,
6,6528,,0.675486204,
7,6185,,0.639994205,
8,5624,,0.58194461,
9,5267,,0.545003958,
10,4684,,0.484677908,
11,4377,,0.452911016,
12,3867,,0.400138657,
13,3344,,0.346021119,
14,3009,,0.311356922,
15,2636,,0.272760667,
16,2306,,0.238613846,
17,2074,,0.214607596,
18,1819,,0.188221416,
19,1538,,0.159144881,
20,1327,,0.13731161,
21,1119,,0.115788766,
22,997,,0.103164789,
23,841,,0.087022656,
24,726,,0.075123006,
25,632,,0.065396336,
26,524,,0.054221013,
27,498,,0.051530657,
28,406,,0.042010937,
29,341,,0.035285048,
30,312,,0.032284267,
31,280,,0.02897306,
32,227,,0.023488874,
33,190,,0.019660291,
34,186,,0.01924639,
35,160,,0.016556034,
36,149,,0.015417807,
37,106,,0.010968373,
38,97,,0.010037096,
39,81,,0.008381492,
40,94,,0.00972667,
41,65,,0.006725889,
42,76,,0.007864116,
43,57,,0.005898087,
44,56,,0.005794612,
45,51,,0.005277236,
46,55,,0.005691137,
47,31,,0.003207732,
48,33,,0.003414682,
49,18,,0.001862554,
50,25,,0.00258688,
51,29,,0.003000781,
52,20,,0.002069504,
53,22,,0.002276455,
54,15,,0.001552128,
55,20,,0.002069504,
56,26,,0.002690356,
57,13,,0.001345178,
58,11,,0.001138227,
59,16,,0.001655603,
60,7,,0.000724327,
61,5,,0.000517376,
62,10,,0.001034752,
63,8,,0.000827802,
64,9,,0.000931277,
65,8,,0.000827802,
66,10,,0.001034752,
67,5,,0.000517376,
68,7,,0.000724327,
69,4,,0.000413901,
70,3,,0.000310426,
71,8,,0.000827802,
72,9,,0.000931277,
73,4,,0.000413901,
74,5,,0.000517376,
75,5,,0.000517376,
76,2,,0.00020695,
77,4,,0.000413901,
78,4,,0.000413901,
79,5,,0.000517376,
81,3,,0.000310426,
82,4,,0.000413901,
83,3,,0.000310426,
84,3,,0.000310426,
85,4,,0.000413901,
86,2,,0.00020695,
87,1,,0.000103475,
88,3,,0.000310426,
90,2,,0.00020695,
91,2,,0.00020695,
92,1,,0.000103475,
93,4,,0.000413901,
94,3,,0.000310426,
97,1,,0.000103475,
99,1,,0.000103475,
101,1,,0.000103475,
102,2,,0.00020695,
104,1,,0.000103475,
106,1,,0.000103475,
107,2,,0.00020695,
110,1,,0.000103475,
111,1,,0.000103475,
115,1,,0.000103475,
116,3,,0.000310426,
117,2,,0.00020695,
119,1,,0.000103475,
122,1,,0.000103475,
125,2,,0.00020695,
126,1,,0.000103475,
128,1,,0.000103475,
131,1,,0.000103475,
132,1,,0.000103475,
135,1,,0.000103475,
137,1,,0.000103475,
143,1,,0.000103475,
152,1,,0.000103475,
155,1,,0.000103475,
165,1,,0.000103475,
166,1,,0.000103475,
170,3,,0.000310426,
177,1,,0.000103475,
180,1,,0.000103475,
186,1,,0.000103475,
209,1,,0.000103475,
234,1,,0.000103475,
242,1,,0.000103475,
270,1,,0.000103475,
277,1,,0.000103475,
,,,0.081218267,78490.55118
